Function,Class,chunks0,chunks1,chunks2,chunks3,chunks4,ct,cube
1878252531,1,2,3,3,3,2,14,19
4059116473,1,2,3,4,3,2,12,7
4028707038,1,2,4,4,3,2,15,9
3422573104,1,2,4,5,3,2,11,7
3200142913,0,2,4,4,3,2,14,10
1147183264,1,2,3,4,3,2,11,12
3959090669,1,2,3,4,3,2,13,9
56233732,1,2,3,4,3,2,12,7
3996072883,1,2,3,5,4,2,13,9
2783051622,1,2,4,4,3,2,14,9
774638876,1,2,4,4,3,2,11,8
202332581,0,2,4,4,3,2,14,9
2857630211,1,2,3,4,3,2,10,6
50580973,1,2,3,4,3,2,9,5
1010812919,1,2,3,3,3,2,10,7
1066752499,0,2,4,4,3,2,13,10
857918509,0,2,4,4,3,2,12,8
2733635069,1,2,3,4,4,2,13,7
2919288060,1,2,3,4,3,2,10,7
4091790305,1,2,3,3,3,2,10,8
1774992399,1,2,4,4,3,2,16,18
2960161659,1,2,3,3,3,2,12,7
634398145,1,2,3,4,3,2,13,7
1665141504,1,2,3,4,4,2,13,12
2084859727,1,2,3,5,4,2,12,14
3878134442,1,2,4,4,3,2,13,8
1693314798,1,2,3,4,3,2,11,12
171651618,1,2,3,5,3,2,11,7
673776901,1,2,3,4,3,2,11,5
1953890208,1,2,3,5,3,2,11,12
504302593,1,2,3,3,3,2,12,17
2750394243,1,2,3,4,3,2,13,10
2934697711,1,2,2,3,3,2,9,6
922367689,0,2,4,2,2,2,15,11
679658291,1,2,3,4,3,2,15,11
1736703907,1,2,3,5,4,2,14,15
691073264,1,2,3,3,3,2,12,8
4278550405,1,2,3,3,2,2,11,8
355794995,1,2,3,4,3,2,9,12
1442446289,1,2,3,5,4,2,15,19
2866020412,1,2,4,4,3,2,12,9
4293848051,1,2,3,4,3,2,12,9
713749128,0,2,3,4,3,2,13,10
1070544846,1,2,3,3,3,2,10,7
3672165088,1,2,3,3,3,2,9,8
3331918421,0,2,4,2,2,2,15,10
3191258804,1,2,3,4,3,2,9,7
2513816965,0,2,4,5,3,2,13,9
1170344693,1,2,4,5,3,2,16,16
2423230522,0,2,4,4,3,2,14,10
858834629,0,2,4,4,3,2,12,8
1108493084,1,2,3,4,3,2,12,13
2104868400,0,2,3,3,3,2,16,18
101287433,1,2,3,3,3,2,13,13
1274328052,1,2,4,4,3,2,14,18
4007464656,0,2,3,3,3,2,14,10
1514427723,0,2,4,4,3,2,14,16
1143625727,1,2,3,4,3,2,12,13
4290740922,1,2,3,4,4,2,13,9
3287333088,1,2,3,4,3,2,15,11
1420758543,1,2,3,4,3,2,11,12
3840811076,1,2,3,4,3,2,11,8
3214627667,0,2,3,4,3,2,12,8
2197000435,1,2,3,4,3,2,12,7
4284876188,0,2,4,4,3,2,14,9
320062483,0,2,3,3,2,2,12,19
4187705855,1,2,4,5,4,2,14,9
4230083374,0,2,4,4,3,2,14,9
491315784,0,2,4,4,3,2,13,22
3789361442,0,2,4,4,3,2,14,9
1263071475,0,2,4,3,3,2,11,12
3228214950,0,2,4,4,3,2,14,10
1122162904,1,2,3,5,3,2,11,12
1078920076,1,2,4,4,3,2,12,12
1964044785,1,2,3,5,3,2,13,12
3955949429,1,2,3,4,4,2,15,10
1090190040,1,2,3,3,3,2,10,14
4240669548,1,2,3,4,3,2,16,12
3200135820,0,2,3,3,3,2,14,10
4106485920,1,2,3,4,3,2,10,8
792155583,0,2,3,5,4,2,13,7
3690797919,1,2,4,5,4,2,14,9
863983407,1,2,3,5,4,2,13,7
4038548091,1,2,3,4,3,2,15,9
260902846,1,2,4,4,3,2,11,7
3888506639,1,2,4,4,3,2,12,8
1076034572,1,2,4,4,3,2,11,13
4228688217,0,2,4,2,2,2,12,8
1328792320,1,2,3,4,3,2,10,12
1609919498,0,2,4,4,3,2,14,18
1066768793,0,2,4,4,3,2,12,9
490468667,1,2,4,5,3,2,11,19
3379164501,0,2,4,4,3,2,14,10
2868834352,1,2,3,4,3,2,10,7
94570927,1,2,4,4,3,2,12,13
671755520,1,2,3,3,3,2,11,7
4125908309,1,2,3,5,3,2,11,9
4090511328,1,2,4,4,3,2,12,9
3758820356,1,2,3,5,4,2,14,9
2932610048,1,2,4,4,3,2,10,8
1640002000,1,2,3,4,3,2,11,12
3481831304,1,2,3,4,3,2,10,8
635379920,1,2,3,4,3,2,10,7
1070541381,0,2,3,3,3,2,14,9
2273817810,1,2,2,3,3,2,18,10
3347572551,1,2,3,5,3,2,12,9
3702141183,1,2,3,4,3,2,9,7
1221585487,1,2,3,4,3,2,13,15
763210430,1,2,3,4,3,2,13,8
2340522658,1,2,4,5,3,2,11,6
4294065666,1,2,3,4,3,2,11,9
69075184,1,2,3,3,3,2,11,10
2119971771,0,2,4,5,3,2,11,15
1007667706,0,2,4,2,2,2,15,10
3525190161,0,2,4,4,3,2,13,9
1127206691,1,2,4,5,3,2,11,13
3231003494,0,2,4,2,2,2,15,9
4283235844,1,2,3,3,3,2,12,9
4044276238,0,2,4,4,3,2,12,9
2705648008,1,2,4,4,3,2,15,10
2581402589,1,2,3,4,3,2,10,6
867234752,1,2,3,4,3,2,10,8
504449867,0,2,4,4,3,2,14,23
2944662210,0,2,3,3,3,2,14,10
4107006976,1,2,3,3,3,2,10,8
3765218926,1,2,4,4,3,2,13,9
3611713367,1,2,3,4,3,2,11,8
1601183605,1,2,3,4,3,2,11,12
2930662993,0,2,4,4,3,2,12,8
3657414143,1,2,2,3,3,2,11,8
4294675852,1,2,3,4,3,2,10,8
540047164,1,2,3,4,3,2,11,6
2355331106,1,2,3,4,4,2,14,10
1974493141,1,2,4,5,3,2,14,15
1849651135,1,2,3,4,3,2,13,13
183935068,0,2,4,4,3,2,14,10
3715570740,0,2,3,3,3,2,14,9
4291604771,1,2,4,5,3,2,12,8
4227830531,1,2,3,4,3,2,12,9
