Function,Class
2102982000,1
4059116473,1
2196454570,1
2946010554,1
1147183264,1
888172799,1
3959090669,1
2783051622,1
2071187148,0
1869569135,0
202332581,0
2857630211,1
2259599279,1
2835149730,0
50580973,1
1066752499,0
3722367184,0
3435192558,0
3459382781,0
2230246783,1
2919288060,1
1774992399,1
2722771136,1
2960161659,1
1347900587,1
2084859727,1
3025517695,1
51402085,1
171651618,1
673776901,1
504302593,1
2750394243,1
2934697711,1
714749285,1
4116003174,0
679658291,1
691073264,1
4278550405,1
355794995,1
50197234,0
1070544846,1
3672165088,1
4076904981,0
2622492656,0
3191258804,1
2860685697,0
256897022,1
2423230522,0
858834629,0
2104868400,0
811540595,1
101287433,1
2275771556,0
1439457222,0
470929663,1
1143625727,1
2836046085,1
1420758543,1
3840811076,1
3214627667,0
2197000435,1
1438300979,0
8973212,1
3082130749,1
258319823,0
16982979,1
657421324,1
1964044785,1
571638338,0
1090190040,1
2138536655,1
4106485920,1
3690797919,1
260902846,1
4059984250,1
1328792320,1
3389192942,1
1609919498,0
779824507,1
490468667,1
4001065578,0
2868834352,1
3124127266,1
671755520,1
3488276275,1
4075840102,1
4125908309,1
61429500,0
351540255,0
3481831304,1
635379920,1
2234485418,1
2273817810,1
3347572551,1
4059120884,0
3702141183,1
1397969670,0
1221585487,1
3334865604,0
2568071425,0
1007640428,0
4294065666,1
69075184,1
201567831,0
1007667706,0
660799471,1
2579075955,1
4283235844,1
564509936,1
4044276238,0
577131906,1
2581402589,1
867234752,1
2944662210,0
3611713367,1
13578439,1
4075982840,0
1601183605,1
4036624278,0
4294675852,1
359702015,0
3256879232,1
1154237123,0
4238593171,0
1974493141,1
1849651135,1
1426367652,0
183935068,0
3944014868,0
2091441663,1
386916123,1
581374389,0
4025985790,1
4227830531,1
3622139767,1
137002794,1
3293298,1
3739126356,0
4293972240,1
2751449087,1
359720304,1
4093365482,0
1827422400,1
4024610688,1
3841225651,1
2101128878,0
2231502088,1
670312384,1
1493371990,0
720039887,1
3623683840,1
4038350240,1
24378751,1
202372611,1
38168166,0
4259318848,1
2433801472,1
760086335,1
1381774131,1
3719262223,1
90388067,0
2145350785,1
3974234127,1
4019571877,1
1058353954,0
1106146013,0
586035104,1
4174248013,1
2678003082,0
571592141,1
1317224835,1
3035674876,0
1009805669,0
2800217839,1
4258262236,1
341114828,1
3754801079,0
2334225441,0
2328862815,1
4081033749,0
3423588559,1
4138399739,0
1390116863,1
2835128994,0
2654928383,1
184813515,1
488586011,1
3455055343,1
2750096042,1
2000699632,0
3721798179,1
1894414463,1
1882126378,1
2476523195,1
1583300319,1
133662880,1
4207259536,0
1719533628,0
2701131610,1
816883944,1
1999882195,0
3316498592,1
2147984655,0
3338006723,0
3994987093,0
1606700277,0
1969124862,1
1179040070,0
2634390282,0
505301824,0
428412108,0
1560207104,1
3235214640,0
4014957263,1
2989736176,1
330047423,1
836710868,1
3499544727,1
4244415057,0
2135970800,1
3322583466,0
811965082,0
84909206,0
354926399,0
1146032625,0
852308632,0
2852323090,0
2213226495,1
60428182,0
2400126799,1
1919124115,0
1667653732,0
2874138623,1
4212347155,1
4214426369,1
4039363066,0
3665799695,1
251981764,1
2777195911,0
2436284611,1
4001287228,0
3138064110,0
4093771008,1
892809251,1
3140730172,0
1155893421,0
806011898,1
2809342835,1
2768256153,0
1270604049,0
393564533,1
3939028733,1
100334134,0
2267903789,0
979321941,1
1687905380,0
2146990728,1
537829402,1
2387601391,1
1987445290,1
1060487055,0
1004273619,1
15639823,1
3015238380,0
263190648,1
1010499635,1
2010489568,0
3149170823,0
1140043727,1
95374510,1
1195704917,1
1878002176,1
992906190,0
3959384380,1
2068855032,1
2796266755,1
1595591423,1
3304571554,1
2298415164,0
1786477417,1
589899141,1
1275355101,1
3347120120,1
909387527,1
3220057856,1
3727692287,0
4288232538,0
3204431803,1
3833055231,1
11484307,0
2426638428,0
3101535199,1
4244655599,1
267081194,1
2961125455,1
3273179928,0
1971123324,1
1348272062,1
1432353791,1
300696772,1
1516038656,1
1675599651,1
1308601183,1
3216668159,0
1094721537,1
2049896640,1
2545140983,1
718070506,1
300818430,0
2685034297,0
4237063033,1
1292705960,1
253102851,1
2346578807,0
1729171217,1
3723720571,1
4134522060,0
313785075,1
1767453443,0
183891398,0
1465701727,1
1160926668,1
3133289459,1
2071694212,0
948120770,0
3019963130,1
1225348352,1
3221340224,1
3485927331,1
3618101247,0
2297415823,1
2861066571,0
4283825251,1
2800970346,0
2947284431,1
252671947,1
3721366283,1
3355767615,1
821691387,0
1073803569,1
4278167893,1
1998806789,1
1954776007,1
909832308,1
3456141956,1
1731153285,1
263170755,1
2368689447,1
4006539468,1
4293438464,1
762782327,0
4288217957,0
4277978180,1
1607839712,0
1975189242,0
4143971669,1
3755331528,0
922375594,0
3334867513,0
2428928214,1
2858221813,1
2767541461,1
1459407974,0
2919518456,1
249387605,0
3321877952,0
2936757589,1
1998751698,0
4009751082,1
713594295,1
2264892671,1
3140701132,0
2869433088,1
1608647650,1
2165047311,0
3288315016,0
4080229532,0
1376192520,0
3257072844,1
669767451,0
2952424505,0
2400694016,1
1442818690,1
1260275741,0
1594514705,1
11072349,1
3715563527,0
3315953445,1
4210717238,1
727381493,1
1527474698,1
3452913663,1
1688819625,1
3670603840,1
4110223874,1
1511085342,0
4092023779,1
1312945658,0
3385256932,0
3275508863,1
3726564032,1
1511587737,0
99923188,1
1528780828,1
4241424581,1
3453141244,1
790761759,0
3755845773,1
1060105839,1
324508625,1
1378396712,1
3738849496,0
809977671,1
1346637904,1
2768242856,1
2644051976,1
1879041786,1
3486265539,0
1996995328,0
272992732,1
100955123,1
1789313190,0
2276751291,0
1035812543,1
1403740077,1
1211109936,0
2472945704,1
1241516565,1
1597237155,1
913616452,0
3225357478,0
1437553151,1
530914733,1
4006509949,1
574750800,0
3951788939,1
3228199616,0
1013988474,1
4076906580,0
235848253,0
1325358879,1
1069570316,0
3285909594,0
1352425363,0
4264490453,1
2241148405,1
4114243472,0
487980463,1
1565359875,1
985386632,1
1282323387,1
224903031,0
1342560713,1
2147413710,1
3974896867,0
3621244935,0
4282059017,0
2367855667,0
146409719,1
3825920773,0
1002059834,1
1464131581,1
2627494736,0
3473067793,1
2777130359,0
1578695338,1
3723380202,1
1375559663,1
885310778,1
3399498675,0
2627100501,0
287240447,0
588277367,1
919368328,0
4289606417,1
3467870850,0
3145666815,1
2398130056,1
400010239,0
3771475727,1
316809681,0
1426417188,0
2866327214,1
2930385576,1
1839343982,1
1606856502,0
2628764656,0
2053057237,1
3687022140,0
3275505960,0
4091674551,1
4082515866,0
4287024278,1
3937151532,1
4294835324,1
1145827583,0
14500081,1
3708153348,0
2969415375,1
2275768229,0
812004192,0
3639631357,1
228973829,1
10878041,0
4124144401,0
3037052837,1
3422568483,0
2823155181,0
2474795890,0
735016911,1
3085971696,1
2008803291,0
1812923663,1
2284715866,0
1682881467,1
4278431319,0
323427660,0
4176530247,1
4135553245,1
3019068842,1
171547033,0
2143247756,0
101109303,0
1576873381,1
548038143,0
4209729263,1
503125439,1
4235660541,1
4273863293,1
3537882319,1
78689460,0
868159538,1
259992693,1
939529728,1
2733551496,1
1886895024,0
3234856917,1
180774502,0
1022524927,0
806360254,1
2573598726,0
578245797,1
4025415671,1
2122223760,0
3749638062,1
2967519212,1
2166423586,1
871590313,0
2769234689,1
3334980482,1
892467131,1
3108433132,0
4293621719,1
4280223226,1
4164222195,1
287460216,0
893386688,1
248434318,1
4080490263,1
268561153,1
1941995392,1
4166023007,1
3422883920,1
252648641,1
3587165131,1
4286455568,1
1037907229,1
1151485180,1
865407321,1
2511836637,0
1026096113,1
3370971304,1
1073699903,1
1042940159,1
285243711,1
3479541055,0
2482439167,1
3214229290,1
2868549013,1
4020437162,1
1192085503,0
894816529,1
2071687179,0
1436131436,0
4278860558,1
4120492817,1
866943112,1
2795398894,1
2308699123,1
2007463783,1
11493216,1
1204302779,1
4143906574,1
1342530505,0
3237777391,1
4258585820,1
4050974204,1
796854798,1
3431006082,0
3237975381,0
1719555423,0
585293038,1
976411391,1
1069495439,0
4294902202,1
85258465,1
2021176320,0
3368582384,1
1156845855,0
2143228032,1
2867873520,1
2685072179,1
4023027848,1
1526050308,1
3154054413,1
1602205107,0
1086582784,1
4147637549,1
3301216609,1
196148219,1
4277137632,0
4282347528,1
1496576921,0
2146338990,1
2047357448,1
2071231095,1
11622263,1
104200697,0
3215405859,1
3747474013,1
2872785169,1
1492167416,1
1559189711,1
523190400,0
3214727384,1
87476681,0
1072512325,1
1023197408,0
252534653,1
3208583936,1
2210120430,0
2907896056,0
4283799931,1
1597616073,0
1373584703,0
135150606,1
3932028684,0
3064976559,1
3506108400,1
1950841031,1
1342697717,1
1862299427,0
2627783920,0
2728559347,1
2426641065,0
2012714485,1
4282122434,0
867679163,1
1081605367,0
3708620526,0
2835414512,1
926362660,1
815074367,1
862520153,0
262513676,0
1352159392,1
2072018828,1
235854924,1
572334707,1
3336752674,0
3149581564,1
1426736185,1
2012391592,1
33746941,1
4294885579,1
1822439925,0
2695835759,1
4215300047,1
3698589600,0
1433722743,1
1782539727,0
2529780579,1
2725716573,1
2825348267,1
808688637,1
2553424000,1
2688507808,1
217314137,0
818715238,0
2292549541,0
233693184,0
2861048235,1
2924938758,0
2348666845,1
4075978621,1
1146171729,1
4289699976,1
2872687545,1
2645490683,0
3708558685,1
2701570054,1
355802999,1
1602355421,0
4032885602,0
2071688324,0
333275007,1
4160189279,1
2376122127,1
1139762155,1
2142918101,1
3792811844,0
3385406981,0
507826824,0
1996519179,0
1178139,1
2081193087,1
4241447274,0
1935631103,1
1158807391,1
284841311,1
83035217,0
1423835358,0
4265929956,1
1722169078,0
3762137149,1
3971493,0
3531068024,0
1156481245,1
1431330918,0
1766549060,0
3430093107,1
1427312991,0
1291144287,0
3589952499,1
14747120,1
2286172987,1
862335012,0
1193789187,1
1359302967,1
1866443514,1
1984209600,1
2289508572,0
680475579,1
2457993155,1
2700447941,0
833855419,1
4259304178,1
3273588514,0
1024851761,1
997079953,0
2951592959,1
34143733,1
3941227901,1
1699195528,0
2869096006,1
1549598584,1
1058353093,1
425277945,1
256551600,1
3691047424,1
3689935823,1
4126946239,1
2011013868,0
3126984874,1
2011933419,1
1818204501,0
956263679,1
3156228351,1
4123284753,0
1915944961,1
2627590280,1
204365056,1
4282376220,1
1532713742,0
4294016801,1
2080365656,0
3336030680,0
3439289572,1
258540389,0
2364017728,1
4027057924,1
2827549901,1
3481242423,1
2240620293,1
3993296133,0
2952725296,1
2097099707,1
3328003677,1
4278406140,1
1436407000,1
1967109631,1
4090462095,1
2174967287,1
3487379391,1
14506631,0
1245728906,1
3757925718,1
2277758867,0
1946091298,0
4252667663,1
4158456320,1
1171203887,0
3355164,1
2755132727,1
2374529279,1
523034848,0
463082138,1
2004021167,1
755313960,0
4245683404,1
1422670346,1
653164475,1
3715585373,1
3776014745,0
2556939725,0
1144197349,1
3815977762,1
2941293472,0
1383822075,0
4081033509,0
4235197487,1
217314214,0
1013530474,0
1173203181,0
1600124409,1
3715331993,1
573780227,1
4288219756,0
3225441616,1
2943297023,1
2785817548,0
2926814323,1
1600958307,0
4060078314,1
1950922635,1
3867001983,1
819738878,1
1427453233,1
55801843,1
3823359967,1
4281558373,1
3435936460,1
265039342,0
1783125384,1
364581055,1
3300216767,1
2737023914,1
3833592627,1
2408514954,0
2817895695,1
4107616247,0
1153780933,1
2572545877,1
2135844078,1
3775672320,1
2610758412,0
10539056,1
53500266,0
993737677,0
519046140,1
2748232627,1
4044288317,0
451222042,0
834728433,0
1910356409,1
3371839989,0
822312783,1
2717072187,1
452595679,1
4193889363,0
967916724,0
300824265,1
2509617117,0
3325675056,0
818705664,0
1407005491,1
1433904504,0
183664639,1
4294398755,1
413710344,1
797450895,0
3182934327,1
4260698897,1
1727485311,1
45482815,1
1548762999,1
4162384896,1
1601376119,1
3790796262,1
2500198195,1
3473276730,1
1080070035,1
3437768495,1
3168745727,1
3132754608,0
2602409887,1
1413853103,1
4211000589,0
1708129366,0
77704708,1
89143260,0
1008887432,1
435404287,1
3199319630,0
808663609,0
1212675068,0
1724824388,1
3439314442,0
4144886538,1
2298130336,1
3004395743,1
3995001313,0
83179349,1
3017028471,1
1647523635,1
2433987071,1
3804245261,1
